回答ID,回答日,拠点名,接客対応_評価,接客対応_コメント,清潔さ_評価,清潔さ_コメント,設備_評価,設備_コメント,対応スピード_評価,対応スピード_コメント,総合満足度_評価,総合満足度_コメント
R00498,2026-07-19,長野店,5,,4,店内がとても清潔で気持ちよかったです,5,,2,呼んでもなかなか来てもらえませんでした,1,次は利用しないかもしれません
R00499,2026-07-06,長野店,3,普通の対応でした,4,,5,設備が新しく快適でした,4,待ち時間が少なくスムーズでした,4,
R00500,2026-07-08,長野店,4,質問にすぐ答えてくれて助かりました,4,,1,,2,,4,
R00501,2026-07-22,長野店,3,,5,,2,,3,待ち時間は許容範囲でした,5,
R00502,2026-07-30,長野店,3,,5,,1,,1,呼んでもなかなか来てもらえませんでした,4,期待以上のサービスでした
R00503,2026-07-25,長野店,4,笑顔で挨拶していただき気持ちよかったです,4,,5,,4,案内が早くて助かりました,5,また利用したいと思います
R00504,2026-07-26,長野店,5,,3,清潔さは普通でした,5,,5,,4,
R00505,2026-08-06,長野店,4,,5,,5,,1,,4,
R00506,2026-08-04,長野店,5,,4,,5,駐車場が広くて停めやすかったです,4,,4,また利用したいと思います
R00507,2026-08-10,長野店,1,,5,,5,駐車場が広くて停めやすかったです,1,,5,家族にもすすめたいです
R00508,2026-08-13,長野店,5,,2,,5,,5,,2,
R00509,2026-08-13,長野店,2,態度が悪いスタッフがいました,5,,3,,5,待ち時間が少なくスムーズでした,5,家族にもすすめたいです
R00510,2026-08-02,長野店,4,,4,清掃が行き届いていました,1,,,,5,
R00511,2026-08-07,長野店,5,,3,清潔さは普通でした,2,,4,案内が早くて助かりました,4,
R00512,2026-08-15,長野店,4,,4,,5,設備が新しく快適でした,1,待ち時間が長く感じました,5,
R00513,2026-07-28,岐阜店,4,質問にすぐ答えてくれて助かりました,4,清掃が行き届いていました,5,駐車場が広くて停めやすかったです,3,,1,
R00514,2026-07-16,岐阜店,4,,3,,4,,3,待ち時間は許容範囲でした,4,また利用したいと思います
R00515,2026-07-09,岐阜店,2,,5,,4,,5,待ち時間が少なくスムーズでした,4,
R00516,2026-07-31,岐阜店,2,,2,,3,設備は必要十分でした,2,,3,
R00517,2026-07-24,岐阜店,4,笑顔で挨拶していただき気持ちよかったです,3,清潔さは普通でした,5,,3,,4,家族にもすすめたいです
R00518,2026-07-17,岐阜店,1,スタッフの対応が冷たく感じました,5,,4,,4,,5,家族にもすすめたいです
R00519,2026-07-26,岐阜店,5,,3,,1,空調の効きが悪かったです,1,,4,家族にもすすめたいです
R00520,2026-07-08,岐阜店,4,スタッフの対応がとても丁寧でした,3,,3,,3,,3,可もなく不可もなくという印象です
R00521,2026-07-16,岐阜店,2,,4,清掃が行き届いていました,5,駐車場が広くて停めやすかったです,4,,4,期待以上のサービスでした
R00522,2026-07-19,岐阜店,1,態度が悪いスタッフがいました,4,店内がとても清潔で気持ちよかったです,5,,2,,4,
R00523,2026-07-12,岐阜店,4,,2,床が汚れているのが気になりました,5,設備が新しく快適でした,5,,4,期待以上のサービスでした
R00524,2026-07-22,岐阜店,5,,5,清掃が行き届いていました,5,,3,,1,価格の割に満足度が低いと感じました
R00525,2026-07-28,岐阜店,4,スタッフの対応がとても丁寧でした,5,店内がとても清潔で気持ちよかったです,4,,5,案内が早くて助かりました,3,
R00526,2026-08-08,岐阜店,,,4,,5,,2,,4,
R00527,2026-08-18,岐阜店,5,,5,清掃が行き届いていました,2,駐車場が狭くて停めにくかったです,2,,5,家族にもすすめたいです
R00528,2026-08-12,岐阜店,5,,,,4,設備が新しく快適でした,3,待ち時間は許容範囲でした,5,期待以上のサービスでした
R00529,2026-08-03,岐阜店,4,,5,,1,,,,1,期待外れでした
R00530,2026-08-15,岐阜店,4,,3,清潔さは普通でした,4,設備が新しく快適でした,5,待ち時間が少なくスムーズでした,5,期待以上のサービスでした
R00531,2026-08-07,岐阜店,4,スタッフの対応がとても丁寧でした,4,,5,,2,,3,可もなく不可もなくという印象です
R00532,2026-08-11,岐阜店,1,,3,,1,,2,,4,
R00533,2026-08-11,岐阜店,2,態度が悪いスタッフがいました,5,,3,設備は必要十分でした,4,,4,
R00534,2026-08-13,岐阜店,2,スタッフの対応が冷たく感じました,5,店内がとても清潔で気持ちよかったです,4,駐車場が広くて停めやすかったです,4,待ち時間が少なくスムーズでした,,可もなく不可もなくという印象です
R00535,2026-08-12,岐阜店,2,,1,トイレの清掃が行き届いていませんでした,2,,4,,1,
R00536,2026-08-17,岐阜店,1,挨拶がなく残念でした,5,店内がとても清潔で気持ちよかったです,4,,1,対応が遅く感じました,5,
R00537,2026-08-08,岐阜店,1,挨拶がなく残念でした,2,匂いが気になりました,5,,4,,4,
R00538,2026-08-01,岐阜店,4,,1,トイレの清掃が行き届いていませんでした,5,,2,,4,
R00539,2026-08-07,岐阜店,4,,5,清掃が行き届いていました,3,,,待ち時間は許容範囲でした,1,価格の割に満足度が低いと感じました
R00540,2026-08-14,岐阜店,2,,4,,5,,4,,5,
R00541,2026-08-16,岐阜店,3,特に問題はありませんでした,4,店内がとても清潔で気持ちよかったです,2,設備が古く感じました,5,案内が早くて助かりました,5,期待以上のサービスでした
R00542,2026-07-31,静岡店,4,質問にすぐ答えてくれて助かりました,4,店内がとても清潔で気持ちよかったです,5,,5,待ち時間が少なくスムーズでした,4,期待以上のサービスでした
R00543,2026-07-19,静岡店,4,,2,,1,,3,,1,
R00544,2026-07-19,静岡店,5,質問にすぐ答えてくれて助かりました,4,,4,駐車場が広くて停めやすかったです,3,待ち時間は許容範囲でした,,
R00545,2026-07-02,静岡店,2,,5,店内がとても清潔で気持ちよかったです,4,設備が新しく快適でした,4,待ち時間が少なくスムーズでした,5,
R00546,2026-07-30,静岡店,2,,5,,3,,4,,4,
R00547,2026-07-16,静岡店,5,,4,清掃が行き届いていました,5,設備が新しく快適でした,5,,3,可もなく不可もなくという印象です
R00548,2026-07-19,静岡店,4,,1,,5,,4,待ち時間が少なくスムーズでした,5,また利用したいと思います
R00549,2026-07-15,静岡店,4,スタッフの対応がとても丁寧でした,5,,1,駐車場が狭くて停めにくかったです,5,待ち時間が少なくスムーズでした,5,
R00550,2026-07-15,静岡店,5,スタッフの対応がとても丁寧でした,4,,5,,3,,3,
R00551,2026-07-25,静岡店,5,,5,,3,,5,待ち時間が少なくスムーズでした,3,
R00552,2026-07-08,静岡店,2,態度が悪いスタッフがいました,1,匂いが気になりました,5,,3,,4,
R00553,2026-07-06,静岡店,5,,5,清掃が行き届いていました,4,,5,,3,
R00554,2026-07-29,静岡店,4,,5,,3,設備は必要十分でした,4,待ち時間が少なくスムーズでした,3,可もなく不可もなくという印象です
R00555,2026-07-19,静岡店,3,特に問題はありませんでした,5,,5,駐車場が広くて停めやすかったです,5,,4,期待以上のサービスでした
R00556,2026-07-17,静岡店,3,特に問題はありませんでした,5,,,設備は必要十分でした,4,,5,
R00557,2026-07-18,静岡店,4,,3,清潔さは普通でした,5,設備が新しく快適でした,4,待ち時間が少なくスムーズでした,4,期待以上のサービスでした
R00558,2026-07-26,静岡店,5,,2,,5,,,待ち時間は許容範囲でした,5,期待以上のサービスでした
R00559,2026-08-10,静岡店,4,,5,,4,設備が新しく快適でした,4,,3,可もなく不可もなくという印象です
R00560,2026-08-01,静岡店,3,普通の対応でした,4,,5,,4,,5,また利用したいと思います
R00561,2026-08-10,静岡店,5,笑顔で挨拶していただき気持ちよかったです,4,,2,駐車場が狭くて停めにくかったです,5,,4,
R00562,2026-08-12,静岡店,4,笑顔で挨拶していただき気持ちよかったです,4,店内がとても清潔で気持ちよかったです,,,4,,5,
R00563,2026-08-13,静岡店,5,,5,,3,,4,,4,
R00564,2026-08-09,静岡店,4,,5,,4,,5,,5,期待以上のサービスでした
R00565,2026-08-07,静岡店,3,,4,,4,,5,,2,
R00566,2026-08-14,静岡店,3,,5,,5,,,,5,家族にもすすめたいです
R00567,2026-08-13,静岡店,4,,2,匂いが気になりました,5,,5,待ち時間が少なくスムーズでした,5,また利用したいと思います
R00568,2026-08-01,静岡店,4,,4,,4,,3,,5,また利用したいと思います
R00569,2026-08-05,静岡店,2,,5,,4,,5,,4,
R00570,2026-07-31,名古屋店,5,質問にすぐ答えてくれて助かりました,,清潔さは普通でした,4,,3,待ち時間は許容範囲でした,4,また利用したいと思います
R00571,2026-07-18,名古屋店,4,,1,,5,設備が新しく快適でした,3,,5,家族にもすすめたいです
R00572,2026-07-10,名古屋店,3,,3,清潔さは普通でした,5,,3,,4,
R00573,2026-07-10,名古屋店,4,,4,,3,,4,,4,
R00574,2026-07-15,名古屋店,5,,4,清掃が行き届いていました,5,,4,,5,期待以上のサービスでした
R00575,2026-07-03,名古屋店,3,特に問題はありませんでした,,,5,,4,,4,期待以上のサービスでした
R00576,2026-07-11,名古屋店,4,スタッフの対応がとても丁寧でした,5,,5,,5,,5,
R00577,2026-07-10,名古屋店,5,,4,,5,駐車場が広くて停めやすかったです,2,待ち時間が長く感じました,3,
R00578,2026-07-13,名古屋店,3,,,清潔さは普通でした,2,,4,,2,
R00579,2026-07-20,名古屋店,3,,4,,4,駐車場が広くて停めやすかったです,4,,4,
R00580,2026-07-11,名古屋店,5,,4,,5,,5,待ち時間が少なくスムーズでした,3,可もなく不可もなくという印象です
R00581,2026-07-09,名古屋店,4,,,,3,,3,,3,可もなく不可もなくという印象です
R00582,2026-07-03,名古屋店,5,,4,店内がとても清潔で気持ちよかったです,3,設備は必要十分でした,3,,4,
R00583,2026-07-23,名古屋店,5,,5,清掃が行き届いていました,5,駐車場が広くて停めやすかったです,3,待ち時間は許容範囲でした,3,可もなく不可もなくという印象です
R00584,2026-07-17,名古屋店,4,,5,,4,,5,待ち時間が少なくスムーズでした,4,家族にもすすめたいです
R00585,2026-07-24,名古屋店,4,スタッフの対応がとても丁寧でした,4,,5,駐車場が広くて停めやすかったです,3,待ち時間は許容範囲でした,3,可もなく不可もなくという印象です
R00586,2026-08-03,名古屋店,5,,4,,4,,4,,3,
R00587,2026-08-07,名古屋店,5,質問にすぐ答えてくれて助かりました,4,,4,,2,,3,可もなく不可もなくという印象です
R00588,2026-08-18,名古屋店,5,,5,清掃が行き届いていました,1,設備が古く感じました,4,,4,期待以上のサービスでした
R00589,2026-08-01,名古屋店,4,質問にすぐ答えてくれて助かりました,1,,4,,4,,3,可もなく不可もなくという印象です
R00590,2026-08-03,名古屋店,5,,2,トイレの清掃が行き届いていませんでした,1,,3,,4,
R00591,2026-08-17,名古屋店,4,,5,店内がとても清潔で気持ちよかったです,2,,4,,4,
R00592,2026-08-15,名古屋店,5,,4,清掃が行き届いていました,5,設備が新しく快適でした,4,案内が早くて助かりました,4,
R00593,2026-08-10,名古屋店,4,,1,,5,,4,案内が早くて助かりました,3,
R00594,2026-08-18,名古屋店,3,,5,店内がとても清潔で気持ちよかったです,3,,4,,4,
R00595,2026-08-07,名古屋店,5,質問にすぐ答えてくれて助かりました,1,床が汚れているのが気になりました,3,設備は必要十分でした,4,待ち時間が少なくスムーズでした,5,
R00596,2026-08-06,名古屋店,4,,,,3,設備は必要十分でした,4,案内が早くて助かりました,4,期待以上のサービスでした
R00597,2026-08-08,名古屋店,4,スタッフの対応がとても丁寧でした,5,,5,,5,案内が早くて助かりました,5,また利用したいと思います
R00598,2026-07-03,津店,4,,3,,5,設備が新しく快適でした,3,,5,期待以上のサービスでした
R00599,2026-07-18,津店,4,質問にすぐ答えてくれて助かりました,1,,4,駐車場が広くて停めやすかったです,4,待ち時間が少なくスムーズでした,2,
R00600,2026-07-01,津店,4,,4,,5,,4,,2,期待外れでした
R00601,2026-07-05,津店,3,,2,床が汚れているのが気になりました,4,,4,待ち時間が少なくスムーズでした,1,
R00602,2026-07-13,津店,4,質問にすぐ答えてくれて助かりました,3,,3,設備は必要十分でした,5,案内が早くて助かりました,4,
R00603,2026-07-05,津店,1,挨拶がなく残念でした,1,,5,設備が新しく快適でした,5,,2,価格の割に満足度が低いと感じました
R00604,2026-07-11,津店,3,特に問題はありませんでした,4,清掃が行き届いていました,4,設備が新しく快適でした,5,待ち時間が少なくスムーズでした,4,また利用したいと思います
R00605,2026-07-09,津店,1,,4,,3,設備は必要十分でした,5,,5,
R00606,2026-08-05,津店,5,,3,,4,設備が新しく快適でした,4,案内が早くて助かりました,3,
R00607,2026-08-02,津店,5,,5,,4,,2,,3,
R00608,2026-08-18,津店,5,,5,,3,設備は必要十分でした,4,,1,期待外れでした
R00609,2026-08-07,津店,4,笑顔で挨拶していただき気持ちよかったです,,,4,設備が新しく快適でした,2,対応が遅く感じました,4,期待以上のサービスでした
R00610,2026-08-07,津店,3,,3,,5,駐車場が広くて停めやすかったです,1,対応が遅く感じました,4,また利用したいと思います
R00611,2026-08-15,津店,2,,5,,,,4,,1,
R00612,2026-08-11,津店,4,,2,,4,,2,対応が遅く感じました,3,
R00613,2026-08-06,津店,4,スタッフの対応がとても丁寧でした,4,店内がとても清潔で気持ちよかったです,4,,4,,5,
R00614,2026-08-12,津店,5,,2,,3,設備は必要十分でした,,,5,家族にもすすめたいです
R00615,2026-08-05,津店,4,,4,,1,,4,,,
R00616,2026-08-10,津店,4,,4,清掃が行き届いていました,3,設備は必要十分でした,4,,5,
R00617,2026-07-18,大津店,4,スタッフの対応がとても丁寧でした,3,,1,,3,待ち時間は許容範囲でした,5,また利用したいと思います
R00618,2026-07-22,大津店,2,,4,清掃が行き届いていました,1,駐車場が狭くて停めにくかったです,2,,5,期待以上のサービスでした
R00619,2026-07-23,大津店,5,笑顔で挨拶していただき気持ちよかったです,4,店内がとても清潔で気持ちよかったです,3,設備は必要十分でした,3,,2,価格の割に満足度が低いと感じました
R00620,2026-07-19,大津店,5,スタッフの対応がとても丁寧でした,4,,2,,5,待ち時間が少なくスムーズでした,5,
R00621,2026-07-01,大津店,5,スタッフの対応がとても丁寧でした,3,,5,駐車場が広くて停めやすかったです,1,対応が遅く感じました,1,次は利用しないかもしれません
R00622,2026-07-05,大津店,,普通の対応でした,3,,5,,2,呼んでもなかなか来てもらえませんでした,5,
R00623,2026-07-02,大津店,2,,3,,2,駐車場が狭くて停めにくかったです,3,待ち時間は許容範囲でした,5,
R00624,2026-07-29,大津店,5,スタッフの対応がとても丁寧でした,3,,5,,1,,5,また利用したいと思います
R00625,2026-08-17,大津店,2,説明が分かりにくかったです,3,,5,,,,3,可もなく不可もなくという印象です
R00626,2026-08-06,大津店,3,特に問題はありませんでした,3,清潔さは普通でした,2,,5,待ち時間が少なくスムーズでした,2,
R00627,2026-08-14,大津店,5,笑顔で挨拶していただき気持ちよかったです,5,店内がとても清潔で気持ちよかったです,4,,4,,5,
R00628,2026-08-01,大津店,5,,4,,1,,5,待ち時間が少なくスムーズでした,2,
R00629,2026-08-17,大津店,4,,2,,1,空調の効きが悪かったです,4,,3,可もなく不可もなくという印象です
R00630,2026-08-14,大津店,3,,4,店内がとても清潔で気持ちよかったです,3,,5,,5,
R00631,2026-08-13,大津店,1,スタッフの対応が冷たく感じました,1,,3,,4,,5,
R00632,2026-08-16,大津店,5,,4,清掃が行き届いていました,5,,1,,1,期待外れでした
R00633,2026-08-11,大津店,3,普通の対応でした,3,,4,,1,待ち時間が長く感じました,5,
R00634,2026-08-18,大津店,5,,2,,5,駐車場が広くて停めやすかったです,2,待ち時間が長く感じました,,可もなく不可もなくという印象です
R00635,2026-08-14,大津店,4,質問にすぐ答えてくれて助かりました,4,清掃が行き届いていました,5,,4,待ち時間が少なくスムーズでした,5,期待以上のサービスでした
R00636,2026-08-18,大津店,4,,4,店内がとても清潔で気持ちよかったです,4,,3,,2,
R00637,2026-08-17,大津店,4,,2,,4,駐車場が広くて停めやすかったです,1,待ち時間が長く感じました,5,
R00638,2026-07-05,京都店,5,スタッフの対応がとても丁寧でした,4,清掃が行き届いていました,2,,3,,1,次は利用しないかもしれません
R00639,2026-07-02,京都店,1,スタッフの対応が冷たく感じました,2,,2,設備が古く感じました,5,待ち時間が少なくスムーズでした,,
R00640,2026-07-28,京都店,5,,,清潔さは普通でした,1,設備が古く感じました,1,対応が遅く感じました,2,
R00641,2026-07-02,京都店,5,笑顔で挨拶していただき気持ちよかったです,4,店内がとても清潔で気持ちよかったです,5,,2,呼んでもなかなか来てもらえませんでした,2,
R00642,2026-07-14,京都店,5,,5,,1,,4,,5,
R00643,2026-07-19,京都店,3,特に問題はありませんでした,5,,1,,3,,5,
R00644,2026-07-05,京都店,4,,3,,4,,5,,1,
R00645,2026-07-09,京都店,3,,4,,5,駐車場が広くて停めやすかったです,4,待ち時間が少なくスムーズでした,4,
R00646,2026-07-26,京都店,4,,2,床が汚れているのが気になりました,5,,3,待ち時間は許容範囲でした,,可もなく不可もなくという印象です
R00647,2026-07-21,京都店,4,質問にすぐ答えてくれて助かりました,4,,2,空調の効きが悪かったです,3,,5,
R00648,2026-07-29,京都店,1,スタッフの対応が冷たく感じました,1,,5,設備が新しく快適でした,1,待ち時間が長く感じました,5,
R00649,2026-07-19,京都店,3,普通の対応でした,1,床が汚れているのが気になりました,4,,5,,1,
R00650,2026-07-15,京都店,2,挨拶がなく残念でした,5,店内がとても清潔で気持ちよかったです,2,,1,,1,価格の割に満足度が低いと感じました
R00651,2026-07-20,京都店,1,,1,,4,,1,,2,
R00652,2026-08-09,京都店,,特に問題はありませんでした,5,,5,設備が新しく快適でした,3,待ち時間は許容範囲でした,,可もなく不可もなくという印象です
R00653,2026-08-07,京都店,2,挨拶がなく残念でした,,,4,,,,3,
R00654,2026-08-08,京都店,5,,,,3,設備は必要十分でした,3,待ち時間は許容範囲でした,5,
R00655,2026-08-18,京都店,5,,2,,5,,2,,,
R00656,2026-08-18,京都店,3,普通の対応でした,4,,1,,1,,,
R00657,2026-08-09,京都店,5,,4,,3,設備は必要十分でした,2,待ち時間が長く感じました,4,家族にもすすめたいです
R00658,2026-08-11,京都店,1,,4,,5,,3,,1,
R00659,2026-08-09,京都店,3,普通の対応でした,5,,,,4,,5,期待以上のサービスでした
R00660,2026-08-09,京都店,4,,5,清掃が行き届いていました,3,,3,待ち時間は許容範囲でした,5,期待以上のサービスでした
R00661,2026-08-12,京都店,4,スタッフの対応がとても丁寧でした,4,,5,,2,対応が遅く感じました,5,
R00662,2026-08-16,京都店,3,,2,,1,駐車場が狭くて停めにくかったです,3,,1,
R00663,2026-08-05,京都店,4,質問にすぐ答えてくれて助かりました,5,,4,駐車場が広くて停めやすかったです,5,待ち時間が少なくスムーズでした,3,可もなく不可もなくという印象です
R00664,2026-08-14,京都店,1,スタッフの対応が冷たく感じました,4,店内がとても清潔で気持ちよかったです,5,駐車場が広くて停めやすかったです,5,,2,
R00665,2026-08-12,京都店,4,スタッフの対応がとても丁寧でした,3,,5,,4,待ち時間が少なくスムーズでした,5,
R00666,2026-08-15,京都店,1,,4,,5,,1,,3,可もなく不可もなくという印象です
R00667,2026-08-03,京都店,2,,2,,4,,4,,,
R00668,2026-08-02,京都店,,,4,店内がとても清潔で気持ちよかったです,5,,4,,1,
R00669,2026-07-27,大阪店,4,,4,,4,,4,,3,可もなく不可もなくという印象です
R00670,2026-07-30,大阪店,4,笑顔で挨拶していただき気持ちよかったです,3,清潔さは普通でした,1,設備が古く感じました,5,待ち時間が少なくスムーズでした,,
R00671,2026-07-03,大阪店,4,質問にすぐ答えてくれて助かりました,2,,4,,1,対応が遅く感じました,5,家族にもすすめたいです
R00672,2026-07-23,大阪店,4,,4,,4,設備が新しく快適でした,5,,4,
R00673,2026-07-06,大阪店,5,,5,清掃が行き届いていました,5,設備が新しく快適でした,1,,4,
R00674,2026-07-07,大阪店,5,,5,,5,,,待ち時間は許容範囲でした,5,家族にもすすめたいです
R00675,2026-07-15,大阪店,5,笑顔で挨拶していただき気持ちよかったです,4,清掃が行き届いていました,4,設備が新しく快適でした,4,,5,
R00676,2026-07-19,大阪店,3,特に問題はありませんでした,,清潔さは普通でした,5,設備が新しく快適でした,4,,5,期待以上のサービスでした
R00677,2026-07-26,大阪店,2,,3,,5,設備が新しく快適でした,4,案内が早くて助かりました,4,家族にもすすめたいです
R00678,2026-07-25,大阪店,4,笑顔で挨拶していただき気持ちよかったです,4,店内がとても清潔で気持ちよかったです,5,,2,,3,
R00679,2026-07-23,大阪店,5,,5,,5,,5,,3,
R00680,2026-07-13,大阪店,5,笑顔で挨拶していただき気持ちよかったです,4,,4,,,待ち時間は許容範囲でした,4,
R00681,2026-07-11,大阪店,3,普通の対応でした,5,清掃が行き届いていました,5,設備が新しく快適でした,5,,5,
R00682,2026-07-16,大阪店,4,,5,店内がとても清潔で気持ちよかったです,5,,4,案内が早くて助かりました,5,家族にもすすめたいです
R00683,2026-07-16,大阪店,5,,4,,4,,5,案内が早くて助かりました,5,また利用したいと思います
R00684,2026-07-21,大阪店,4,,5,,4,駐車場が広くて停めやすかったです,5,待ち時間が少なくスムーズでした,4,
R00685,2026-08-16,大阪店,3,,5,,4,,4,案内が早くて助かりました,5,
R00686,2026-08-05,大阪店,4,,4,,5,駐車場が広くて停めやすかったです,3,,3,
R00687,2026-08-06,大阪店,4,スタッフの対応がとても丁寧でした,5,,5,設備が新しく快適でした,5,,4,
R00688,2026-08-04,大阪店,4,,4,,4,,2,呼んでもなかなか来てもらえませんでした,4,
R00689,2026-08-04,大阪店,5,スタッフの対応がとても丁寧でした,4,店内がとても清潔で気持ちよかったです,5,,,,5,
R00690,2026-08-06,大阪店,4,,5,,5,,2,,5,
R00691,2026-08-17,大阪店,4,,3,,4,,5,待ち時間が少なくスムーズでした,4,家族にもすすめたいです
R00692,2026-08-10,大阪店,3,,5,店内がとても清潔で気持ちよかったです,5,,,,2,
R00693,2026-08-10,大阪店,5,,,清潔さは普通でした,3,設備は必要十分でした,5,待ち時間が少なくスムーズでした,2,期待外れでした
R00694,2026-08-06,大阪店,,普通の対応でした,4,店内がとても清潔で気持ちよかったです,4,,5,,4,
R00695,2026-08-17,大阪店,4,笑顔で挨拶していただき気持ちよかったです,4,清掃が行き届いていました,3,設備は必要十分でした,4,,5,家族にもすすめたいです
R00696,2026-08-05,大阪店,5,笑顔で挨拶していただき気持ちよかったです,5,,5,,4,,4,また利用したいと思います
R00697,2026-08-07,大阪店,4,,4,,4,設備が新しく快適でした,4,,1,
R00698,2026-08-17,大阪店,5,,,清潔さは普通でした,2,,4,,5,
R00699,2026-07-19,神戸店,5,,1,,1,,4,,5,
R00700,2026-07-03,神戸店,4,質問にすぐ答えてくれて助かりました,5,,3,,4,,4,
R00701,2026-07-12,神戸店,5,,2,匂いが気になりました,4,,2,,4,また利用したいと思います
R00702,2026-07-19,神戸店,5,,4,店内がとても清潔で気持ちよかったです,4,駐車場が広くて停めやすかったです,4,,2,
R00703,2026-07-08,神戸店,3,,5,,3,,4,待ち時間が少なくスムーズでした,4,家族にもすすめたいです
R00704,2026-07-31,神戸店,2,,4,,1,,4,,,
R00705,2026-07-11,神戸店,5,笑顔で挨拶していただき気持ちよかったです,1,,3,設備は必要十分でした,5,,5,また利用したいと思います
R00706,2026-07-17,神戸店,1,,5,,3,,5,,3,可もなく不可もなくという印象です
R00707,2026-07-16,神戸店,5,スタッフの対応がとても丁寧でした,4,,4,,3,,5,
R00708,2026-07-20,神戸店,5,,3,清潔さは普通でした,2,,4,,5,期待以上のサービスでした
R00709,2026-07-03,神戸店,4,,4,,4,設備が新しく快適でした,5,待ち時間が少なくスムーズでした,4,
R00710,2026-07-23,神戸店,4,,4,店内がとても清潔で気持ちよかったです,1,,1,待ち時間が長く感じました,2,
R00711,2026-07-21,神戸店,5,,1,,2,設備が古く感じました,3,待ち時間は許容範囲でした,3,
R00712,2026-08-15,神戸店,4,,5,店内がとても清潔で気持ちよかったです,4,,2,,5,
R00713,2026-08-07,神戸店,5,,5,清掃が行き届いていました,5,,3,,4,
R00714,2026-08-18,神戸店,1,説明が分かりにくかったです,1,,5,,4,,5,
R00715,2026-08-06,神戸店,4,スタッフの対応がとても丁寧でした,4,清掃が行き届いていました,2,,4,待ち時間が少なくスムーズでした,4,
R00716,2026-08-13,神戸店,3,,4,,4,,1,,2,
R00717,2026-08-18,神戸店,5,スタッフの対応がとても丁寧でした,,,4,設備が新しく快適でした,2,対応が遅く感じました,2,価格の割に満足度が低いと感じました
R00718,2026-08-08,神戸店,5,,4,,1,,2,,1,次は利用しないかもしれません
R00719,2026-08-07,神戸店,4,スタッフの対応がとても丁寧でした,3,,1,設備が古く感じました,4,,4,期待以上のサービスでした
R00720,2026-08-17,神戸店,4,笑顔で挨拶していただき気持ちよかったです,5,清掃が行き届いていました,5,,4,,2,
R00721,2026-08-04,神戸店,5,,5,,5,,3,,1,期待外れでした
R00722,2026-08-13,神戸店,1,,4,店内がとても清潔で気持ちよかったです,4,,2,,2,期待外れでした
R00723,2026-08-03,神戸店,4,笑顔で挨拶していただき気持ちよかったです,1,床が汚れているのが気になりました,5,設備が新しく快適でした,5,,4,また利用したいと思います
R00724,2026-08-10,神戸店,1,,3,,3,,2,対応が遅く感じました,,
R00725,2026-08-11,神戸店,3,,3,清潔さは普通でした,3,,5,案内が早くて助かりました,3,
R00726,2026-08-12,神戸店,3,,5,,5,駐車場が広くて停めやすかったです,1,,5,
R00727,2026-08-09,神戸店,2,,1,,2,,1,,4,
R00728,2026-07-08,奈良店,2,,5,,2,,5,,4,期待以上のサービスでした
R00729,2026-07-13,奈良店,2,,3,,3,設備は必要十分でした,5,待ち時間が少なくスムーズでした,4,
R00730,2026-07-01,奈良店,2,,,,5,設備が新しく快適でした,5,,4,
R00731,2026-07-07,奈良店,4,,1,,4,,1,待ち時間が長く感じました,3,
R00732,2026-07-08,奈良店,,,4,,5,駐車場が広くて停めやすかったです,4,,5,
R00733,2026-07-03,奈良店,3,,2,トイレの清掃が行き届いていませんでした,4,,1,対応が遅く感じました,3,
R00734,2026-07-22,奈良店,5,,,,3,,4,案内が早くて助かりました,4,
R00735,2026-07-29,奈良店,5,,4,,1,,5,,2,次は利用しないかもしれません
R00736,2026-07-06,奈良店,5,,5,店内がとても清潔で気持ちよかったです,5,,3,,3,
R00737,2026-07-17,奈良店,3,,5,,1,,4,,5,家族にもすすめたいです
R00738,2026-07-12,奈良店,,,5,,4,,3,,4,家族にもすすめたいです
R00739,2026-07-28,奈良店,3,普通の対応でした,3,,2,,5,案内が早くて助かりました,5,また利用したいと思います
R00740,2026-07-24,奈良店,5,,5,,1,,5,,5,
R00741,2026-07-10,奈良店,4,,5,,4,駐車場が広くて停めやすかったです,4,,4,
R00742,2026-07-25,奈良店,4,,5,,4,,1,,4,期待以上のサービスでした
R00743,2026-08-01,奈良店,1,,2,,4,,4,,4,家族にもすすめたいです
R00744,2026-08-05,奈良店,4,,1,,3,,1,,4,
R00745,2026-08-04,奈良店,5,スタッフの対応がとても丁寧でした,4,,,設備は必要十分でした,2,,4,また利用したいと思います
R00746,2026-08-17,奈良店,5,,4,,4,,4,,1,期待外れでした
R00747,2026-08-05,奈良店,3,,2,,5,設備が新しく快適でした,5,案内が早くて助かりました,2,
R00748,2026-08-02,奈良店,5,質問にすぐ答えてくれて助かりました,3,,4,駐車場が広くて停めやすかったです,4,,2,
R00749,2026-08-16,奈良店,4,,5,,5,,4,,1,
R00750,2026-08-01,奈良店,5,スタッフの対応がとても丁寧でした,4,,5,駐車場が広くて停めやすかったです,4,,5,また利用したいと思います
R00751,2026-08-06,奈良店,3,,2,床が汚れているのが気になりました,4,,3,待ち時間は許容範囲でした,4,
R00752,2026-07-20,和歌山店,5,,3,,5,,4,案内が早くて助かりました,5,期待以上のサービスでした
R00753,2026-07-25,和歌山店,5,,4,,5,,4,,5,
R00754,2026-07-19,和歌山店,3,普通の対応でした,3,,5,,4,,5,
R00755,2026-07-18,和歌山店,4,スタッフの対応がとても丁寧でした,5,,5,,5,案内が早くて助かりました,4,
